epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.592,1.56849,2.26988,1.27084,0.83184,0.44546,0.43446,0.22388,1.69218,2.47417,1.26275,0.000302375,0.000302375,0.000302375
2,82.2667,1.40167,1.21616,1.15217,0.91533,0.49094,0.53272,0.30615,1.5532,1.6012,1.17313,0.000593389,0.000593389,0.000593389
3,121.294,1.35536,1.00388,1.1337,0.89227,0.50658,0.601,0.33053,1.63041,1.38023,1.19941,0.000872404,0.000872404,0.000872404
4,159.889,1.31961,0.89443,1.11723,0.88424,0.55225,0.61757,0.3594,1.54551,1.29163,1.18174,0.000855005,0.000855005,0.000855005
5,198.283,1.27298,0.81934,1.09589,0.7524,0.5903,0.65392,0.3744,1.49592,1.02765,1.14792,0.000837007,0.000837007,0.000837007
6,236.957,1.24416,0.77248,1.07778,0.87881,0.55098,0.64629,0.3706,1.58749,1.08852,1.18932,0.000819009,0.000819009,0.000819009
7,275.362,1.21877,0.73844,1.06962,0.78708,0.57618,0.67225,0.37652,1.53656,1.04625,1.15295,0.000801011,0.000801011,0.000801011
8,313.767,1.19824,0.71272,1.06191,0.78005,0.6131,0.70185,0.40109,1.52102,0.98747,1.14615,0.000783013,0.000783013,0.000783013
9,352.122,1.18234,0.68608,1.05422,0.59825,0.69075,0.68525,0.42137,1.44533,0.92567,1.1087,0.000765014,0.000765014,0.000765014
10,390.632,1.1766,0.68086,1.04776,0.66986,0.6633,0.68385,0.39503,1.47421,1.08309,1.13002,0.000747016,0.000747016,0.000747016
11,429.078,1.15255,0.65642,1.04209,0.75189,0.63329,0.68282,0.39243,1.46259,0.86429,1.12153,0.000729018,0.000729018,0.000729018
12,467.494,1.14722,0.64662,1.03885,0.67904,0.65909,0.65739,0.38569,1.4547,0.83403,1.12868,0.00071102,0.00071102,0.00071102
13,505.87,1.12249,0.62406,1.02987,0.64979,0.65258,0.67704,0.40311,1.42341,0.85525,1.11354,0.000693022,0.000693022,0.000693022
14,544.331,1.11806,0.61746,1.0295,0.77463,0.67864,0.73821,0.44483,1.41685,0.8176,1.10936,0.000675023,0.000675023,0.000675023
15,582.857,1.10332,0.6066,1.01976,0.63533,0.66002,0.70751,0.42968,1.42515,0.81372,1.10404,0.000657025,0.000657025,0.000657025
16,621.4,1.10454,0.60005,1.02302,0.73206,0.6121,0.65784,0.39909,1.39839,0.83566,1.09232,0.000639027,0.000639027,0.000639027
17,659.994,1.09446,0.59068,1.01881,0.70987,0.63788,0.69174,0.40899,1.45113,0.82915,1.10753,0.000621029,0.000621029,0.000621029
18,698.53,1.08127,0.57829,1.01249,0.80358,0.6885,0.71596,0.42356,1.42678,0.78919,1.09919,0.000603031,0.000603031,0.000603031
19,737.208,1.07659,0.57529,1.01145,0.76777,0.6772,0.71194,0.4163,1.39339,0.78218,1.08875,0.000585032,0.000585032,0.000585032
20,775.827,1.06478,0.56714,1.00451,0.7803,0.66117,0.7241,0.43765,1.3902,0.80694,1.08142,0.000567034,0.000567034,0.000567034
21,814.404,1.05511,0.56469,1.00459,0.7315,0.76695,0.75414,0.4552,1.42513,0.78764,1.10814,0.000549036,0.000549036,0.000549036
22,852.958,1.0506,0.5552,1.00006,0.72203,0.75679,0.75464,0.45547,1.39815,0.7232,1.09207,0.000531038,0.000531038,0.000531038
23,891.585,1.04873,0.55184,0.99906,0.78419,0.72298,0.75045,0.46464,1.38719,0.73212,1.08111,0.00051304,0.00051304,0.00051304
24,930.237,1.04005,0.54343,0.99721,0.76606,0.78191,0.7809,0.48125,1.37124,0.70513,1.08074,0.000495041,0.000495041,0.000495041
25,968.899,1.03761,0.53748,0.99575,0.68876,0.83687,0.77211,0.47039,1.37564,0.73933,1.0801,0.000477043,0.000477043,0.000477043
26,1007.45,1.03272,0.533,0.9931,0.68419,0.78884,0.7583,0.45364,1.35814,0.68897,1.07833,0.000459045,0.000459045,0.000459045
27,1046.19,1.01715,0.52931,0.98682,0.79958,0.77997,0.78456,0.47588,1.38679,0.68326,1.08549,0.000441047,0.000441047,0.000441047
28,1085.16,1.01295,0.51954,0.98524,0.75931,0.73187,0.75518,0.47827,1.33949,0.73282,1.06692,0.000423049,0.000423049,0.000423049
29,1123.77,1.0077,0.51645,0.98464,0.78088,0.7608,0.7646,0.47896,1.3478,0.66809,1.05951,0.00040505,0.00040505,0.00040505
30,1162.5,1.00003,0.51502,0.98315,0.7461,0.76097,0.77016,0.48399,1.34656,0.6823,1.07124,0.000387052,0.000387052,0.000387052
31,1201.28,0.98663,0.50633,0.97628,0.74534,0.74719,0.76027,0.46842,1.32959,0.69473,1.05702,0.000369054,0.000369054,0.000369054
32,1239.89,0.99117,0.49887,0.97844,0.75774,0.7994,0.77107,0.47501,1.31643,0.67128,1.05233,0.000351056,0.000351056,0.000351056
33,1278.76,0.97957,0.49821,0.97361,0.725,0.77406,0.76571,0.48426,1.32069,0.68251,1.05748,0.000333058,0.000333058,0.000333058
34,1317.39,0.97505,0.49108,0.97424,0.73793,0.76939,0.77944,0.48031,1.3259,0.71037,1.05225,0.000315059,0.000315059,0.000315059
35,1356.06,0.97266,0.49373,0.97263,0.76943,0.79129,0.78503,0.47505,1.32476,0.66608,1.05321,0.000297061,0.000297061,0.000297061
36,1394.98,0.96013,0.48089,0.96555,0.7827,0.76139,0.7913,0.48628,1.32395,0.65345,1.05782,0.000279063,0.000279063,0.000279063
37,1433.84,0.96928,0.48291,0.97113,0.76899,0.80283,0.78192,0.48459,1.32214,0.64083,1.0546,0.000261065,0.000261065,0.000261065
38,1472.67,0.95396,0.47875,0.96371,0.8107,0.76039,0.78305,0.48821,1.33049,0.64617,1.05582,0.000243067,0.000243067,0.000243067
39,1511.38,0.95514,0.47422,0.96354,0.75088,0.79962,0.79659,0.49391,1.32576,0.64086,1.05279,0.000225068,0.000225068,0.000225068
40,1550.16,0.94421,0.46992,0.96071,0.79518,0.78285,0.776,0.48275,1.32544,0.62983,1.05565,0.00020707,0.00020707,0.00020707
41,1589.83,0.91237,0.42141,0.95476,0.74555,0.78783,0.78082,0.48778,1.31754,0.63746,1.05524,0.000189072,0.000189072,0.000189072
42,1628.05,0.89835,0.41207,0.94864,0.76826,0.80509,0.77834,0.48775,1.31817,0.63119,1.05685,0.000171074,0.000171074,0.000171074
43,1666.25,0.88934,0.40705,0.94647,0.76075,0.78347,0.77923,0.48833,1.31107,0.62047,1.05171,0.000153076,0.000153076,0.000153076
44,1704.5,0.88135,0.40418,0.94498,0.77613,0.79825,0.79707,0.50072,1.3048,0.62187,1.05502,0.000135077,0.000135077,0.000135077
45,1742.82,0.87761,0.39959,0.94165,0.78019,0.79366,0.79235,0.50092,1.30738,0.61318,1.04812,0.000117079,0.000117079,0.000117079
46,1780.97,0.87,0.39606,0.94134,0.78404,0.81785,0.80571,0.50915,1.29536,0.60824,1.04683,9.9081e-05,9.9081e-05,9.9081e-05
47,1819.22,0.86459,0.39229,0.93771,0.78064,0.79654,0.79896,0.49933,1.30372,0.61644,1.04826,8.10828e-05,8.10828e-05,8.10828e-05
48,1857.25,0.85868,0.38751,0.93652,0.78435,0.79068,0.80127,0.50421,1.30377,0.60882,1.04767,6.30846e-05,6.30846e-05,6.30846e-05
49,1895.44,0.85015,0.38495,0.93349,0.76642,0.81945,0.79893,0.50176,1.30521,0.61125,1.04662,4.50864e-05,4.50864e-05,4.50864e-05
50,1933.52,0.8489,0.3821,0.93049,0.79327,0.79638,0.79534,0.4993,1.30093,0.61058,1.04737,2.70882e-05,2.70882e-05,2.70882e-05
