epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.9048,1.49681,1.64906,1.26336,0.85092,0.49187,0.55286,0.2994,1.59998,1.36343,1.22823,0.000302375,0.000302375,0.000302375
2,114.911,1.31013,0.8851,1.13135,0.89106,0.5544,0.59753,0.33004,1.56976,1.20562,1.21569,0.000593389,0.000593389,0.000593389
3,170.626,1.27729,0.82377,1.11924,0.54489,0.59357,0.60813,0.33951,1.61327,1.16691,1.20774,0.000872404,0.000872404,0.000872404
4,226.02,1.23984,0.7752,1.10188,0.76827,0.6156,0.65534,0.37504,1.52475,0.99045,1.18691,0.000855005,0.000855005,0.000855005
5,281.452,1.19779,0.70618,1.07971,0.764,0.58442,0.65371,0.36255,1.49852,0.97479,1.15226,0.000837007,0.000837007,0.000837007
6,336.751,1.16513,0.67974,1.05966,0.85953,0.62528,0.68225,0.3849,1.49382,1.01989,1.14961,0.000819009,0.000819009,0.000819009
7,392.079,1.14075,0.64813,1.0507,0.6417,0.74451,0.70101,0.4031,1.45173,0.84435,1.12456,0.000801011,0.000801011,0.000801011
8,447.605,1.11753,0.62673,1.04537,0.66544,0.69719,0.70269,0.42008,1.44557,0.85476,1.11624,0.000783013,0.000783013,0.000783013
9,503.144,1.09804,0.60369,1.03726,0.64432,0.65826,0.6992,0.43141,1.41752,0.83373,1.10805,0.000765014,0.000765014,0.000765014
10,558.453,1.09554,0.6012,1.03107,0.6464,0.69037,0.68742,0.40634,1.42399,0.90781,1.10738,0.000747016,0.000747016,0.000747016
11,613.517,1.06981,0.57952,1.01985,0.73353,0.64789,0.70756,0.42951,1.385,0.7914,1.09357,0.000729018,0.000729018,0.000729018
12,668.621,1.06296,0.56673,1.01862,0.70069,0.68403,0.69535,0.41896,1.39203,0.8469,1.09641,0.00071102,0.00071102,0.00071102
13,723.634,1.0377,0.55072,1.00988,0.76384,0.69082,0.70923,0.43272,1.3643,0.75628,1.07549,0.000693022,0.000693022,0.000693022
14,778.808,1.03571,0.54508,1.01133,0.74635,0.70854,0.71855,0.42572,1.37432,0.758,1.08614,0.000675023,0.000675023,0.000675023
15,833.678,1.01706,0.53637,0.99969,0.66199,0.73496,0.70103,0.41913,1.3729,0.75612,1.08197,0.000657025,0.000657025,0.000657025
16,888.334,1.01654,0.52719,1.00102,0.71628,0.70353,0.75057,0.44017,1.37108,0.71473,1.07217,0.000639027,0.000639027,0.000639027
17,943.284,1.00039,0.51886,0.99527,0.6554,0.68352,0.70365,0.42417,1.3652,0.77186,1.07634,0.000621029,0.000621029,0.000621029
18,998.591,0.98795,0.50984,0.99072,0.80982,0.69915,0.73713,0.43919,1.376,0.79317,1.09005,0.000603031,0.000603031,0.000603031
19,1053.81,0.98798,0.5077,0.98797,0.77131,0.71342,0.75604,0.4483,1.35323,0.69343,1.07631,0.000585032,0.000585032,0.000585032
20,1109.17,0.97109,0.49895,0.98044,0.73701,0.70502,0.75721,0.45492,1.34462,0.69405,1.06993,0.000567034,0.000567034,0.000567034
21,1164.58,0.96147,0.49625,0.9813,0.7309,0.72122,0.7533,0.45786,1.35062,0.66895,1.07741,0.000549036,0.000549036,0.000549036
22,1219.39,0.95562,0.48681,0.97452,0.61283,0.78151,0.74014,0.45309,1.35282,0.68393,1.07293,0.000531038,0.000531038,0.000531038
23,1274.21,0.94975,0.48398,0.97208,0.75828,0.82028,0.80554,0.50527,1.31337,0.64303,1.05686,0.00051304,0.00051304,0.00051304
24,1329.39,0.94026,0.47393,0.97091,0.72001,0.81664,0.76429,0.47089,1.3509,0.65915,1.06837,0.000495041,0.000495041,0.000495041
25,1384.6,0.93668,0.46813,0.97012,0.83119,0.76769,0.79162,0.49568,1.31182,0.63634,1.0678,0.000477043,0.000477043,0.000477043
26,1439.51,0.92986,0.46582,0.9689,0.71281,0.78999,0.75273,0.45886,1.32947,0.65739,1.07588,0.000459045,0.000459045,0.000459045
27,1494.61,0.91685,0.4603,0.96259,0.78041,0.85139,0.80654,0.47873,1.33664,0.61246,1.06905,0.000441047,0.000441047,0.000441047
28,1549.64,0.91238,0.45321,0.95987,0.73534,0.80103,0.78397,0.48981,1.31531,0.63364,1.05207,0.000423049,0.000423049,0.000423049
29,1604.65,0.90248,0.44939,0.95775,0.77065,0.81379,0.80749,0.48633,1.30684,0.61181,1.0499,0.00040505,0.00040505,0.00040505
30,1659.67,0.89649,0.44542,0.95616,0.71505,0.76459,0.74216,0.45692,1.31513,0.6166,1.05748,0.000387052,0.000387052,0.000387052
31,1714.82,0.87784,0.43611,0.94892,0.77965,0.79874,0.77817,0.48528,1.2831,0.5908,1.05093,0.000369054,0.000369054,0.000369054
32,1769.96,0.88121,0.43273,0.95074,0.70318,0.86499,0.78356,0.47267,1.30343,0.60516,1.05051,0.000351056,0.000351056,0.000351056
33,1825.12,0.87177,0.4304,0.94583,0.75413,0.74816,0.76666,0.49011,1.27509,0.60717,1.04689,0.000333058,0.000333058,0.000333058
34,1880.02,0.86595,0.42493,0.9479,0.75909,0.80418,0.78438,0.48358,1.28302,0.61762,1.04262,0.000315059,0.000315059,0.000315059
35,1935.16,0.86083,0.42421,0.94409,0.78832,0.81707,0.78571,0.48861,1.2907,0.59715,1.04842,0.000297061,0.000297061,0.000297061
36,1990.28,0.84682,0.4142,0.93577,0.7464,0.80872,0.79209,0.48841,1.28248,0.59493,1.04566,0.000279063,0.000279063,0.000279063
37,2045.22,0.8495,0.41263,0.94072,0.7481,0.80482,0.79212,0.49437,1.29217,0.60938,1.05096,0.000261065,0.000261065,0.000261065
38,2100.1,0.84129,0.41165,0.9348,0.78169,0.80574,0.79346,0.49116,1.28448,0.62353,1.05023,0.000243067,0.000243067,0.000243067
39,2155.11,0.83784,0.4061,0.93492,0.78204,0.86865,0.80607,0.49307,1.28818,0.58268,1.04574,0.000225068,0.000225068,0.000225068
40,2210.03,0.82296,0.39954,0.92862,0.81154,0.78431,0.79767,0.49265,1.2716,0.57359,1.04674,0.00020707,0.00020707,0.00020707
41,2265.62,0.79728,0.3588,0.922,0.80305,0.79901,0.82141,0.51029,1.27446,0.58994,1.04163,0.000189072,0.000189072,0.000189072
42,2320,0.78543,0.35318,0.9181,0.78306,0.8423,0.80799,0.50623,1.26696,0.57947,1.04096,0.000171074,0.000171074,0.000171074
43,2374.32,0.77324,0.34694,0.91214,0.80662,0.79569,0.81249,0.50319,1.28058,0.57964,1.04341,0.000153076,0.000153076,0.000153076
44,2428.59,0.76392,0.34425,0.91242,0.76679,0.83846,0.80038,0.50273,1.27413,0.57861,1.04782,0.000135077,0.000135077,0.000135077
45,2483.09,0.75813,0.34004,0.90837,0.77643,0.83965,0.80296,0.50156,1.2707,0.57801,1.04164,0.000117079,0.000117079,0.000117079
46,2537.45,0.74691,0.33627,0.90691,0.7826,0.8534,0.81662,0.50433,1.27204,0.59127,1.04681,9.9081e-05,9.9081e-05,9.9081e-05
47,2591.8,0.74242,0.33139,0.90277,0.77688,0.85761,0.80867,0.50445,1.26636,0.58256,1.04567,8.10828e-05,8.10828e-05,8.10828e-05
48,2646.25,0.73323,0.32683,0.90191,0.7896,0.85921,0.80461,0.50095,1.25807,0.56911,1.04121,6.30846e-05,6.30846e-05,6.30846e-05
49,2700.65,0.72427,0.32474,0.89812,0.79335,0.84261,0.80915,0.50432,1.26399,0.56531,1.04458,4.50864e-05,4.50864e-05,4.50864e-05
50,2755.21,0.72211,0.32096,0.89538,0.79,0.86262,0.81367,0.5081,1.26181,0.56607,1.04729,2.70882e-05,2.70882e-05,2.70882e-05
